n	(phi^n-1 - phi^n)	(phi*phi^n-1)
1	3.819660e-01	6.180340e-01
2	2.360680e-01	3.819660e-01
3	1.458980e-01	2.360680e-01
4	9.016994e-02	1.458980e-01
5	5.572809e-02	9.016996e-02
6	3.444186e-02	5.572810e-02
7	2.128624e-02	3.444186e-02
8	1.315562e-02	2.128624e-02
9	8.130620e-03	1.315562e-02
10	5.025000e-03	8.130621e-03
11	3.105621e-03	5.025000e-03
12	1.919379e-03	3.105621e-03
13	1.186242e-03	1.919379e-03
14	7.331377e-04	1.186242e-03
15	4.531040e-04	7.331377e-04
16	2.800337e-04	4.531040e-04
17	1.730703e-04	2.800337e-04
18	1.069634e-04	1.730704e-04
19	6.610699e-05	1.069634e-04
20	4.085637e-05	6.610699e-05
